unitcode,semester,type,credit_points,point_type,points_req,enrolment_req
ATAR_PHYS,NS,ATAR,0,,,
PHYS1030,BOTH,BRIDGING,6,,,
ATAR_METH,NS,ATAR,0,,,
MATH1721,BOTH,BRIDGING,6,,,
ATAR_CHEM,NS,ATAR,0,,,
CHEM1003,BOTH,BRIDGING,6,,,
ATAR_SPEC,NS,ATAR,0,,,
MATH1722,BOTH,BRIDGING,6,,,
ENSC1004,S2,CORE,6,,,
GENG1000,NS,CORE,6,,,BH011
GENG1010,BOTH,CORE,6,,,
GENG1101,S2,CORE,6,,,BH011
MATH1011,BOTH,CORE,6,,,
MATH1012,BOTH,CORE,6,,,
PHYS1001,BOTH,CORE,6,,,
CITS2401,BOTH,CORE,6,programming,,
ENSC2003,BOTH,CORE,6,,,
ENSC2004,BOTH,CORE,6,,,
GENG2000,NS,CORE,6,,,BH011
GENG2003,S1,CORE,6,,,BH011
GENG2004,S1,CORE,6,,,BH011
MECH2002,S1,CORE,6,,,BH011
MECH2004,S2,CORE,6,,,BH011
GENG3000,NS,CORE,6,,,BH011
GENG3402,S2,CORE,6,,,BH011
GENG3405,S2,CORE,6,,,BH011
MATH3023,S2,CORE,6,,,
MECH3001,S2,CORE,6,,,BH011
MECH3002,S1,CORE,6,,,BH011
MECH3024,S2,CORE,6,,,BH011;CB006;CB004;CB014
MECH3424,S2,CORE,6,,,BH011
GENG5010,BOTH,CORE,6,,144,BH011;62550
GENG5507,BOTH,CORE,6,,120,BH011;62550;62510;62520;62560;73660
MECH4426,S1,CORE,6,,,BH011;62550
MECH4429,S1,CORE,6,,,BH011;62550
MECH4502,S2,CORE,6,,,BH011
MECH5551,S1,CORE,6,,,BH011;62550
GENG4411,NS,GROUP_A,6,,144,BH011
GENG4412,NS,GROUP_A,6,,,BH011
MECH5552,S2,GROUP_A,6,,,BH011;62550
CHPR3405,S1,GROUP_B,6,,,BH011
GENG5504,NS,GROUP_B,6,,120,BH011;62550;62520
GENG5505,BOTH,GROUP_B,6,,120,BH011;62550;62510;62530;62549;62560;62570
GENG5514,S1,GROUP_B,6,,120,BH011;62550
MECH4428,S1,GROUP_B,6,,96,BH011;62550
MECH5504,S2,GROUP_B,6,,120,BH011;62550
