unitcode,relationship,year,major
CITS1001,CORE_OF,2022,SP-ESOFT
CITS1003,CORE_OF,2022,SP-ESOFT
CITS1402,CORE_OF,2022,SP-ESOFT
ELEC1303,CORE_OF,2022,SP-ESOFT
GENG1000,CORE_OF,2022,SP-ESOFT
GENG1010,CORE_OF,2022,SP-ESOFT
MATH1011,CORE_OF,2022,SP-ESOFT
MATH1012,CORE_OF,2022,SP-ESOFT
PHYS1001,CORE_OF,2022,SP-ESOFT
CITS2002,CORE_OF,2022,SP-ESOFT
CITS2200,CORE_OF,2022,SP-ESOFT
CITS2401,CORE_OF,2022,SP-ESOFT
CITS2211,CORE_OF,2022,SP-ESOFT
GENG2000,CORE_OF,2022,SP-ESOFT
STAT2063,CORE_OF,2022,SP-ESOFT
CITS3002,CORE_OF,2022,SP-ESOFT
CITS3005,CORE_OF,2022,SP-ESOFT
CITS3007,CORE_OF,2022,SP-ESOFT
CITS3200,CORE_OF,2022,SP-ESOFT
CITS3301,CORE_OF,2022,SP-ESOFT
CITS3403,CORE_OF,2022,SP-ESOFT
ELEC3020,CORE_OF,2022,SP-ESOFT
GENG3000,CORE_OF,2022,SP-ESOFT
CITS4419,CORE_OF,2022,SP-ESOFT
CITS5501,CORE_OF,2022,SP-ESOFT
CITS5503,CORE_OF,2022,SP-ESOFT
CITS5507,CORE_OF,2022,SP-ESOFT
GENG4411,CORE_OF,2022,SP-ESOFT
GENG4412,CORE_OF,2022,SP-ESOFT
GENG5010,CORE_OF,2022,SP-ESOFT
GENG5507,CORE_OF,2022,SP-ESOFT
GENG5505,CORE_OF,2022,SP-ESOFT
