,unitcode,unitname,semester,type,level,major,credit_points,points_req,incompatible_units,corequisites
0,CITS1401,Computational Thinking with Python,BOTH,,1,,6,,['CITS2401'],
1,ELEC1303,Digital Systems,S2,,1,,6,,['ENSC3020'],
2,ENSC1004,Engineering Materials,S2,,1,,6,,['ENSC1002'],
3,GENG1000,Engineering Practice 1,NS,,1,,6,,[],
4,GENG1010,Introduction to Engineering,BOTH,,1,,6,,['ENSC1003'],
5,MATH1011,Multivariable Calculus,BOTH,,1,,6,,[],
6,MATH1012,Mathematical Theory and Methods,BOTH,,1,,6,,[],
7,CHEM1003,Introductory Chemistry,BOTH,,1,,6,,[],
8,MATH1722,Mathematics Foundations: Specialist,BOTH,,1,,6,,[],
9,PHYS1030,Physics Bridging Unit,BOTH,,1,,6,,"['PHYS1001', 'PHYX1001', 'PHYS1002', 'PHYS1100', 'PHYS1200']",
10,CITS2002,Systems Programming,S2,,2,,6,,['CITS1002'],
11,CITS2200,Data Structures and Algorithms,S1,,2,,6,,[],
12,ELEC2311,Digital System Design,S2,,2,,6,,['ELEC4406'],
13,ENSC2003,Engineering Electrical Fundamentals,BOTH,,2,,6,,[],
14,ENSC2004,Engineering Mechanics,BOTH,,2,,6,,['ENSC2001'],
15,GENG2000,Engineering Practice 2,NS,,2,,6,,[],
16,GENG2004,Solid Mechanics,S1,,2,,6,,['ENSC3004'],
17,MECH2004,Engineering Dynamics,S2,,2,,6,,[],
18,AUTO3002,Mechatronics,S1,,3,,6,,['GENG3002'],
19,CITS3001,"Algorithms, Agents and Artificial Intelligence",S2,,3,,6,,[],
20,ELEC3016,Power and Machines,S2,,3,,6,,['ENSC3016'],
21,ELEC3020,Embedded Systems,S2,,3,,6,,"['ELEC4403', 'ENSC3020']",
22,GENG3000,Engineering Practice 3,NS,,3,,6,,[],
23,GENG3402,Control Engineering,S2,,3,,6,,['GENG4402'],
24,MECH3001,Mechanisms and Machines,S2,,3,,6,,['ENSC3001'],
25,MECH3424,Measurement and Instrumentation,S2,,3,,6,,['MECH4424'],
26,AUTO4507,Robot Manipulators and Automation,S1,,4,,6,,[],
27,AUTO4508,Mobile Robots,S1,,4,,6,,['GENG5508'],
28,CITS4402,Computer Vision,S1,,4,,6,,[],
29,ELEC5506,Process Instrumentation and Control,S1,,5,,6,,['ELEC3320'],
30,GENG4411,Engineering Research Project Part 1,NS,,4,,6,,[],
31,GENG4412,Engineering Research Project Part 2,NS,,4,,6,,[],
32,GENG5010,Professional Engineering Portfolio,BOTH,,5,,6,,['GENG5000'],
33,GENG5505,Project Management and Engineering Practice,BOTH,,5,,6,,[],
34,GENG5507,"Risk, Reliability and Safety",BOTH,,5,,6,,[],
