,unitcode,unitname,semester,type,level,major,credit_points,points_req,incompatible_units,corequisites
0,CITS1401,Computational Thinking with Python,BOTH,,1,,6,,['CITS2401'],
1,ENSC1004,Engineering Materials,S2,,1,,6,,['ENSC1002'],
2,GENG1000,Engineering Practice 1,NS,,1,,6,,[],
3,GENG1010,Introduction to Engineering,BOTH,,1,,6,,['ENSC1003'],
4,GENG1101,Engineering Drawings,S2,,1,,6,,[],
5,IMED1001,Form and Function,S1,,1,,6,,[],
6,MATH1011,Multivariable Calculus,BOTH,,1,,6,,[],
7,MATH1012,Mathematical Theory and Methods,BOTH,,1,,6,,[],
8,PHYS1001,Physics for Scientists and Engineers,BOTH,,1,,6,,['PHYS1001'],
9,CHEM1003,Introductory Chemistry,BOTH,,1,,6,,[],
10,MATH1722,Mathematics Foundations: Specialist,BOTH,,1,,6,,[],
11,PHYS1030,Physics Bridging Unit,BOTH,,1,,6,,"['PHYS1001', 'PHYX1001', 'PHYS1002', 'PHYS1100', 'PHYS1200']",
12,CITS2200,Data Structures and Algorithms,S1,,2,,6,,[],
13,ENSC2003,Engineering Electrical Fundamentals,BOTH,,2,,6,,[],
14,ENSC2004,Engineering Mechanics,BOTH,,2,,6,,['ENSC2001'],
15,GENG2000,Engineering Practice 2,NS,,2,,6,,[],
16,GENG2003,Fluid Mechanics,S1,,2,,6,,['ENSC3003'],
17,GENG2004,Solid Mechanics,S1,,2,,6,,['ENSC3004'],
18,MECH2002,Engineering Materials 2,S1,,2,,6,,[],
19,PHYL2002,Physiology of Cells,S2,,2,,6,,[],
20,BMEG3001,Engineering and the Human Body,NS,,3,,6,,['ENSC3023'],
21,BMEG3002,Biomaterials,S1,,3,,6,,['BMEG4002'],
22,ELEC3020,Embedded Systems,S2,,3,,6,,"['ELEC4403', 'ENSC3020']",
23,ELEC3021,Circuits and Electronics,S1,,3,,6,,['ENSC3021'],
24,GENG3000,Engineering Practice 3,NS,,3,,6,,[],
25,MECH3424,Measurement and Instrumentation,S2,,3,,6,,['MECH4424'],
26,BMEG4001,Biomedical Instrumentation,S2,,4,,6,,[],
27,BMEG4003,Biomechanics,S2,,4,,6,,[],
28,BMEG5001,Advanced Topics in Biomedical Engineering,S2,,5,,6,,[],
29,BMEG5551,Biomedical Engineering Design Project 1,S1,,5,,6,,[],
30,BMEG5552,Biomedical Engineering Design Project 2,S2,,5,,6,,[],
31,GENG4411,Engineering Research Project Part 1,NS,,4,,6,,[],
32,GENG4412,Engineering Research Project Part 2,NS,,4,,6,,[],
33,GENG5010,Professional Engineering Portfolio,BOTH,,5,,6,,['GENG5000'],
34,GENG5505,Project Management and Engineering Practice,BOTH,,5,,6,,[],
