,unitcode,unitname,semester,type,level,major,credit_points,points_req,incompatible_units,corequisites
0,GENG1000,Engineering Practice 1,NS,,1,,6,,[],
1,GENG1010,Introduction to Engineering,BOTH,,1,,6,,['ENSC1003'],
2,GENG1014,Earth Systems Engineering,S2,,1,,6,,[],
3,MATH1011,Multivariable Calculus,BOTH,,1,,6,,[],
4,MATH1012,Mathematical Theory and Methods,BOTH,,1,,6,,[],
5,PHYS1001,Physics for Scientists and Engineers,BOTH,,1,,6,,['PHYS1001'],
6,CHEM1003,Introductory Chemistry,BOTH,,1,,6,,[],
7,MATH1722,Mathematics Foundations: Specialist,BOTH,,1,,6,,[],
8,PHYS1030,Physics Bridging Unit,BOTH,,1,,6,,"['PHYS1001', 'PHYX1001', 'PHYS1002', 'PHYS1100', 'PHYS1200']",
9,CITS2401,Computer Analysis and Visualisation,BOTH,,2,,6,,"['CITS1401', 'CITX1401']",
10,CIVL2008,Structural Analysis,S2,,2,,6,,['ENSC3008'],
11,CIVL2551,Civil Engineering Practice,S1,,2,,6,,[],
12,ENSC2004,Engineering Mechanics,BOTH,,2,,6,,['ENSC2001'],
13,GENG2000,Engineering Practice 2,NS,,2,,6,,[],
14,GENG2004,Solid Mechanics,S1,,2,,6,,['ENSC3004'],
15,GENG2009,Principles of Geomechanics,S1,,2,,6,,['ENSC3009'],
16,GENG2010,Principles of Hydraulics,S2,,2,,6,,['ENSC3010'],
17,GENG2012,Data Collection and Analysis,S2,,2,,6,,['ENSC3012'],
18,CIVL3401,Applied Geomechanics,S1,,3,,6,,['CIVL4401'],
19,CIVL3402,Hydraulics for Civil Engineers,S1,,3,,6,,['CIVL4402'],
20,CIVL3403,Structural Concrete Design,S2,,3,,6,,['CIVL4403'],
21,CIVL3404,Structural Steel Design,S1,,3,,6,,['CIVL4404'],
22,GENG3000,Engineering Practice 3,NS,,3,,6,,[],
23,GENG3405,Numerical Methods and Modelling,S2,,3,,6,,['GENG4405'],
24,CIVL4430,Transportation and Pavement Engineering,S2,,4,,6,,['CIVL5502'],
25,GENG4411,Engineering Research Project Part 1,NS,,4,,6,,[],
26,GENG4412,Engineering Research Project Part 2,NS,,4,,6,,[],
27,GENG5010,Professional Engineering Portfolio,BOTH,,5,,6,,['GENG5000'],
28,GENG5505,Project Management and Engineering Practice,BOTH,,5,,6,,[],
29,GENG5507,"Risk, Reliability and Safety",BOTH,,5,,6,,[],
30,CIVL5550,Civil Infrastructure Design Project,NS,,5,,6,,[],
31,CIVL5552,Civil Structural Design Project,S2,,5,,6,,[],
32,CIVL5501,Structural Dynamics,S2,,5,,6,,[],
33,CIVL5503,Underground Construction,S1,,5,,6,,[],
34,CIVL5504,Offshore Geomechanics,NS,,5,,6,,[],
35,CIVL5505,Design of Offshore Energy Facilities,S2,,5,,6,,[],
36,ENVE3402,Engineering Hydrology,S1,,3,,6,,['ENVE4402'],
37,GENG5501,Coastal and Offshore Engineering,S1,,5,,6,,[],
38,GENG5502,Environmental Geotechnics,S2,,5,,6,,[],
39,GENG5514,Finite Element Method,S1,,5,,6,,[],
