child_unit,relationship,parent_unit
ENSC1004,REQUIRES,ATAR_PHYS
ENSC1004,REQUIRES,PHYS1030
ENSC1004,REQUIRES,ATAR_CHEM
ENSC1004,REQUIRES,CHEM1003
ENSC1004,REQUIRES,ATAR_METH
ENSC1004,REQUIRES,MATH1721
GENG1000,REQUIRES,GENG1010
MATH1011,REQUIRES,ATAR_SPEC
MATH1011,REQUIRES,MATH1722
MATH1012,REQUIRES,ATAR_SPEC
MATH1012,REQUIRES,MATH1722
PHYS1001,REQUIRES,MATH1721
PHYS1001,REQUIRES,ATAR_METH
PHYS1001,REQUIRES,ATAR_PHYS
CITS2401,REQUIRES,ATAR_METH
ENSC2003,REQUIRES,MATH1011
ENSC2003,REQUIRES,ATAR_PHYS
ENSC2003,REQUIRES,PHYS1030
ENSC2004,REQUIRES,MATH1011
ENSC2004,REQUIRES,ATAR_PHYS
ENSC2004,REQUIRES,PHYS1030
GENG2000,REQUIRES,GENG1000
GENG2003,REQUIRES,MATH1011
GENG2003,REQUIRES,MATH1012
GENG2003,REQUIRES,PHYS1001
GENG2004,REQUIRES,MATH1011
GENG2004,REQUIRES,MATH1012
GENG2004,REQUIRES,ENSC2004
MECH2002,REQUIRES,ENSC1004
MECH2004,REQUIRES,MATH1011
MECH2004,REQUIRES,MATH1012
GENG3000,REQUIRES,GENG2000
GENG3402,REQUIRES,MATH1011
GENG3402,REQUIRES,MATH1012
GENG3405,REQUIRES,MATH1012
GENG3405,REQUIRES,CITS2401
MATH3023,REQUIRES,MATH1011
MECH3001,REQUIRES,CITS2401
MECH3001,REQUIRES,MECH2004
MECH3002,REQUIRES,GENG2000
MECH3002,REQUIRES,MECH2002
MECH3024,REQUIRES,CITS2401
MECH3024,REQUIRES,ENSC2004
MECH3424,REQUIRES,CITS2401
MECH3424,REQUIRES,ENSC2004
MECH3424,REQUIRES,MATH1012
MECH3424,REQUIRES,GENG2000
GENG5507,REQUIRES,MATH1011
GENG5507,REQUIRES,MATH1012
MECH4426,REQUIRES,ENSC2004
MECH4426,REQUIRES,MECH2004
MECH4429,REQUIRES,MECH3024
MECH4502,REQUIRES,CITS2401
MECH4502,REQUIRES,GENG2004
MECH4502,REQUIRES,MECH2004
MECH4502,REQUIRES,MECH3002
MECH4502,REQUIRES,GENG3000
MECH5551,REQUIRES,MECH5502
MECH5551,REQUIRES,MECH4502
MECH5551,REQUIRES,GENG3000
GENG4411,REQUIRES,GENG3000
GENG4412,REQUIRES,GENG4411
MECH5552,REQUIRES,MECH5551
CHPR3405,REQUIRES,GENG2003
GENG5504,REQUIRES,GENG2003
GENG5514,REQUIRES,GENG2004
GENG5514,REQUIRES,GENG3405
MECH4428,REQUIRES,MECH2002
MECH5504,REQUIRES,MECH2002
MECH5504,REQUIRES,GENG2004
