,unitcode,unitname,semester,type,level,major,credit_points,points_req,incompatible_units,corequisites
0,CHEM1001,Chemistryâ€”Properties and Energetics,BOTH,,1,,6,,[],
1,EART1104,Discovering Earth,S2,,1,,6,,[],
2,GENG1000,Engineering Practice 1,NS,,1,,6,,[],
3,GENG1010,Introduction to Engineering,BOTH,,1,,6,,['ENSC1003'],
4,GENG1014,Earth Systems Engineering,S2,,1,,6,,[],
5,MATH1011,Multivariable Calculus,BOTH,,1,,6,,[],
6,MATH1012,Mathematical Theory and Methods,BOTH,,1,,6,,[],
7,PHYS1001,Physics for Scientists and Engineers,BOTH,,1,,6,,['PHYS1001'],
8,CHEM1003,Introductory Chemistry,BOTH,,1,,6,,[],
9,MATH1722,Mathematics Foundations: Specialist,BOTH,,1,,6,,[],
10,PHYS1030,Physics Bridging Unit,BOTH,,1,,6,,"['PHYS1001', 'PHYX1001', 'PHYS1002', 'PHYS1100', 'PHYS1200']",
11,CITS2401,Computer Analysis and Visualisation,BOTH,,2,,6,,"['CITS1401', 'CITX1401']",
12,ENSC2003,Engineering Electrical Fundamentals,BOTH,,2,,6,,[],
13,ENSC2004,Engineering Mechanics,BOTH,,2,,6,,['ENSC2001'],
14,GENG2000,Engineering Practice 2,NS,,2,,6,,[],
15,GENG2004,Solid Mechanics,S1,,2,,6,,['ENSC3004'],
16,GENG2009,Principles of Geomechanics,S1,,2,,6,,['ENSC3009'],
17,GENG2010,Principles of Hydraulics,S2,,2,,6,,['ENSC3010'],
18,MINE2001,Fundamentals of Mining Engineering,S2,,2,,6,,['ENSC3011'],
19,GENG3000,Engineering Practice 3,NS,,3,,6,,[],
20,MINE3401,Underground Mining 1,S1,,3,,6,,['MINE4401'],
21,MINE3404,Rock Mechanics,S2,,3,,6,,['MINE4404'],
22,MINE3405,Mineral Resources,S1,,3,,6,,['MINE4405'],
23,MINE3406,Geotechnology of Mine Waste,NS,,3,,6,,['MINE4406'],
24,MINE3503,Surface Mining,S1,,3,,6,,['MINE4503'],
25,GENG4403,Extractive Metallurgy,S1,,4,,6,,[],
26,GENG4411,Engineering Research Project Part 1,NS,,4,,6,,[],
27,GENG4412,Engineering Research Project Part 2,NS,,4,,6,,[],
28,GENG5010,Professional Engineering Portfolio,BOTH,,5,,6,,['GENG5000'],
29,GENG5505,Project Management and Engineering Practice,BOTH,,5,,6,,[],
30,GENG5507,"Risk, Reliability and Safety",BOTH,,5,,6,,[],
31,MINE4001,Mining Engineering Services,NS,,4,,6,,[],
32,MINE4502,Underground Mining 2,S2,,4,,6,,['MINE5502'],
33,MINE5501,Mining Management,S1,,5,,6,,[],
34,MINE5551,Mining Engineering Design Project 1,S2,,5,,6,,[],
