unitcode,unitname,semester,type,level,major,credit_points,points_req,enrolment_req,incompatible_units,corequisites
CITS1001,Software Engineering with Java,BOTH,CORE_SP-ESOFT,1,SP-ESOFT,6,,,,
CITS1003,Intro to Cybersecurity,S1,CORE_SP-ESOFT,1,SP-ESOFT,6,,,CITS3004,
CITS1402,Relational Database Management Systems,S2,CORE_SP-ESOFT,1,SP-ESOFT,6,,,CITS2232,
ELEC1303,Digital Systems,S2,CORE_SP-ESOFT,1,SP-ESOFT,6,,BH011,ENSC3020,
GENG1000,Engineering Practice 1,NS,CORE_SP-EMECH;CORE_SP-ESOFT;CORE_SP-ECHEM,1,SP-EMECH;SP-ESOFT,0,,BH011,,
GENG1010,Intro to Engineering,BOTH,CORE_SP-EMECH;CORE_SP-ESOFT;CORE_SP-ECHEM,1,SP-EMECH;SP-ESOFT,6,,,ENSC1003,
MATH1011,Multivariable Calculus,BOTH,CORE_SP-EMECH;CORE_SP-ESOFT;CORE_SP-ECHEM,1,SP-EMECH;SP-ESOFT,6,,,,
MATH1012,Mathematical Theory and Methods,BOTH,CORE_SP-EMECH;CORE_SP-ESOFT;CORE_SP-ECHEM,1,SP-EMECH;SP-ESOFT,6,,,,
PHYS1001,Physics for Scientists and Engineers,BOTH,CORE_SP-EMECH;CORE_SP-ESOFT;CORE_SP-ECHEM,1,SP-EMECH;SP-ESOFT,6,,,,ATAR_SPEC;MATH1722
CITS2002,Systems Programming,S2,CORE_SP-ESOFT,2,SP-ESOFT,6,6P,,CITS1002,
CITS2200,Data Structures and Algorithms,S1,CORE_SP-ESOFT,2,SP-ESOFT,6,,,,
CITS2401,Computer Analysis and Visualisation,BOTH,CORE_SP-EMECH;CORE_SP-ECHEM,2,SP-EMECH,6,,,CITS1401,
CITS2211,Discrete Structures,S2,CORE_SP-ESOFT,2,SP-ESOFT,6,6P,,,
GENG2000,Engineering Practice 2,NS,CORE_SP-EMECH;CORE_SP-ESOFT;CORE_SP-ECHEM,2,SP-EMECH;SP-ESOFT,0,,BH011,,
STAT2063,Probabilistic Methods and their Applications,S1,CORE_SP-ESOFT,2,SP-ESOFT,6,,BH011,STAT2062,
CITS3002,Computer Networks,S1,CORE_SP-ESOFT,3,SP-ESOFT,6,,,,
CITS3005,Knowledge Representation,S2,CORE_SP-ESOFT,3,SP-ESOFT,6,,,,
CITS3007,Secure Coding,S2,CORE_SP-ESOFT,3,SP-ESOFT,6,12P,,,
CITS3200,Professional Computing,S2,CORE_SP-ESOFT,3,SP-ESOFT,6,84,,CITS5206,
CITS3301,Software Requirements and Design,S1,CORE_SP-ESOFT,3,SP-ESOFT,6,,BH011,CITS4401,
CITS3403,Agile Web Development,S1,CORE_SP-ESOFT,3,SP-ESOFT,6,,,CITS5505,
ELEC3020,Embedded Systems,S2,CORE_SP-ESOFT,3,SP-ESOFT,6,,BH011,ELEC4403;ENSC3020,
GENG3000,Engineering Practice 3,NS,CORE_SP-EMECH;CORE_SP-ESOFT;CORE_SP-ECHEM,3,SP-EMECH;SP-ESOFT,0,,BH011,,
CITS4419,Mobile and Wireless Computing,S1,CORE_SP-ESOFT,4,SP-ESOFT,6,96,BH011;BH008;HON-CMSSE;62530;62550,,
CITS5501,Software Testing and Quality Assurance,S1,CORE_SP-ESOFT,5,SP-ESOFT,6,12P;120,BH011;BH008;62510;62550,,
CITS5503,Cloud Computing,S2,CORE_SP-ESOFT,5,SP-ESOFT,6,12P;120,BH011;BH008;HON-CMSSE;62510;62530;42630,,
CITS5507,High Performance Computing,S2,CORE_SP-ESOFT,5,SP-ESOFT,6,12P;120,BH011;62510;62530,CITS3402;SHPC4002,
GENG4411,Engineering Research Project Part 1,BOTH,GROUP_A_SP-EMECH;CORE_SP-ESOFT;CORE_SP-ECHEM,4,SP-EMECH;SP-ESOFT,6,144,BH011,,
GENG4412,Engineering Research Project Part 2,BOTH,GROUP_A_SP-EMECH;CORE_SP-ESOFT;CORE_SP-ECHEM,4,SP-EMECH;SP-ESOFT,6,,BH011,,
GENG5010,Professional Engineering Portfolio,NS,CORE_SP-EMECH;CORE_SP-ESOFT;CORE_SP-ECHEM,5,SP-EMECH;SP-ESOFT,0,144,BH011;62550,GENG5000,
GENG5507,"Risk, Reliability, and Safety",BOTH,CORE_SP-EMECH;CORE_SP-ESOFT;CORE_SP-ECHEM,5,SP-EMECH;SP-ESOFT,6,120,BH011;62550;62510;62520;62560;73660,,
GENG5505,Project Management and Engineering Practice,BOTH,GROUP_B_SP-EMECH;CORE_SP-ESOFT,5,SP-EMECH;SP-ESOFT,6,120,BH011;62550;62510;62530;62549;62560;62570,,
