child_unit,relationship,rel_type,year,parent_unit
MATH1722,REQUIRES,AND,2023,MATH1721
ENSC1004,REQUIRES,NA,2023,ATAR_PHYS
ENSC1004,REQUIRES,AND,2023,PHYS1030
ENSC1004,REQUIRES,NA,2023,ATAR_CHEM
ENSC1004,REQUIRES,AND,2023,CHEM1003
ENSC1004,REQUIRES,NA,2023,ATAR_METH
ENSC1004,REQUIRES,AND,2023,MATH1721
GENG1000,REQUIRES,AND,2023,GENG1010
MATH1011,REQUIRES,NA,2023,ATAR_SPEC
MATH1011,REQUIRES,AND,2023,MATH1722
MATH1012,REQUIRES,NA,2023,ATAR_SPEC
MATH1012,REQUIRES,AND,2023,MATH1722
PHYS1001,REQUIRES,AND,2023,PHYS1030
PHYS1001,REQUIRES,AND,2023,MATH1721
PHYS1001,REQUIRES,NA,2023,ATAR_METH
PHYS1001,REQUIRES,NA,2023,ATAR_PHYS
CITS2401,REQUIRES,NA,2023,ATAR_METH
CITS2401,REQUIRES,AND,2023,MATH1722
ENSC2003,REQUIRES,AND,2023,MATH1011
ENSC2003,REQUIRES,NA,2023,ATAR_PHYS
ENSC2003,REQUIRES,AND,2023,PHYS1030
ENSC2004,REQUIRES,AND,2023,MATH1011
ENSC2004,REQUIRES,NA,2023,ATAR_PHYS
ENSC2004,REQUIRES,AND,2023,PHYS1030
GENG2000,REQUIRES,AND,2023,GENG1000
GENG2003,REQUIRES,AND,2023,MATH1011
GENG2003,REQUIRES,AND,2023,MATH1012
GENG2003,REQUIRES,AND,2023,PHYS1001
GENG2004,REQUIRES,AND,2023,MATH1011
GENG2004,REQUIRES,AND,2023,MATH1012
GENG2004,REQUIRES,AND,2023,ENSC2004
MECH2002,REQUIRES,AND,2023,ENSC1004
MECH2004,REQUIRES,AND,2023,MATH1011
MECH2004,REQUIRES,AND,2023,MATH1012
GENG3000,REQUIRES,AND,2023,GENG2000
GENG3402,REQUIRES,AND,2023,MATH1011
GENG3402,REQUIRES,AND,2023,MATH1012
GENG3405,REQUIRES,AND,2023,MATH1012
GENG3405,REQUIRES,AND,2023,CITS2401
MATH3023,REQUIRES,AND,2023,MATH1011
MECH3001,REQUIRES,OR,2023,CITS1401
MECH3001,REQUIRES,OR,2023,CITS2401
MECH3001,REQUIRES,AND,2023,MECH2004
MECH3002,REQUIRES,AND,2023,GENG2000
MECH3002,REQUIRES,AND,2023,MECH2002
MECH3024,REQUIRES,AND,2023,CITS2401
MECH3024,REQUIRES,AND,2023,ENSC2004
MECH3424,REQUIRES,OR,2023,CITS1401
MECH3424,REQUIRES,OR,2023,CITS2401
MECH3424,REQUIRES,AND,2023,ENSC2004
MECH3424,REQUIRES,AND,2023,MATH1012
MECH3424,REQUIRES,AND,2023,GENG2000
GENG5507,REQUIRES,AND,2023,MATH1011
GENG5507,REQUIRES,AND,2023,MATH1012
MECH4426,REQUIRES,AND,2023,ENSC2004
MECH4426,REQUIRES,AND,2023,MECH2004
MECH4429,REQUIRES,AND,2023,MECH3024
MECH4502,REQUIRES,AND,2023,CITS2401
MECH4502,REQUIRES,AND,2023,GENG2004
MECH4502,REQUIRES,AND,2023,MECH2004
MECH4502,REQUIRES,AND,2023,MECH3002
MECH4502,REQUIRES,AND,2023,GENG3000
MECH5551,REQUIRES,OR,2023,MECH5502
MECH5551,REQUIRES,AND,2023,MECH4502
MECH5551,REQUIRES,AND,2023,GENG3000
GENG4411,REQUIRES,AND,2023,GENG3000
GENG4412,REQUIRES,AND,2023,GENG4411
MECH5552,REQUIRES,AND,2023,MECH5551
