unitcode,unitname,semester,type,level,major,credit_points,points_req,enrolment_req,incompatible_units,corequisites
ATAR_CHEM,,,ATAR,0,,0,,,,
ATAR_METH,,,ATAR,0,,0,,,,
ATAR_PHYS,,,ATAR,0,,0,,,,
ATAR_SPEC,,,ATAR,0,,0,,,,
AUTO3002,Mechatronics,S1,CORE_SP-EAUTO,3,,6,,,GENG3002,
AUTO4507,Robot Manipulators and Automation,S1,CORE_SP-EAUTO,4,,6,,,,
AUTO4508,Mobile Robots,S1,CORE_SP-EAUTO,4,,6,,,GENG5508,
BMEG3001,Engineering and the Human Body,NS,CORE_SP-EBIOM,3,,6,,,ENSC3023,
BMEG3002,Biomaterials,S1,CORE_SP-EBIOM,3,,6,,,BMEG4002,
BMEG4001,Biomedical Instrumentation,S2,CORE_SP-EBIOM,4,,6,,,,
BMEG4003,Biomechanics,S2,CORE_SP-EBIOM,4,,6,,,,
BMEG5001,Advanced Topics in Biomedical Engineering,S2,CORE_SP-EBIOM,5,,6,,,,
BMEG5551,Biomedical Engineering Design Project 1,S1,CORE_SP-EBIOM,5,,6,,,,
BMEG5552,Biomedical Engineering Design Project 2,S2,CORE_SP-EBIOM,5,,6,,,,
CHEM1001,Chemistry - Properties and Energetics,BOTH,CORE_SP-ECHEM;CORE_SP-EENVI;CORE_SP-EMINE,1,SP-ECHEM,6,,,,
CHEM1002,Chemistry - Structure and Reactivity,BOTH,CORE_SP-ECHEM,1,SP-ECHEM,6,,,,
CHEM1003,Introductory Chemistry,BOTH,BRIDGING,1,,6,,,,
CHPR1005,Mass and Energy Balances,S2,CORE_SP-ECHEM,1,SP-ECHEM,6,,,ENSC3005,
CHPR2006,Chemical Engineering Thermodynamics,S1,CORE_SP-ECHEM,2,SP-ECHEM,6,,,ENSC3006,
CHPR2007,Heat and Mass Transfer,S2,CORE_SP-ECHEM,2,SP-ECHEM,6,,,ENSC3007,
CHPR2018,Process Synthesis and Design 1,S2,CORE_SP-ECHEM,2,SP-ECHEM,6,,,ENSC3005,
CHPR3018,Process Synthesis and Design 2,S2,CORE_SP-ECHEM,3,SP-ECHEM,6,,,ENSC3018,CHPR3019
CHPR3019,Unit Operations,S2,CORE_SP-ECHEM,3,SP-ECHEM,6,,,ENSC3019,
CHPR3404,Advanced Thermodynamics and Mass Transfer Processes,S1,CORE_SP-ECHEM,3,SP-ECHEM,6,,,CHPR4404,
CHPR3405,Particle Technology,S1,GROUP_B_SP-EMECH;CORE_SP-ECHEM,3,SP-EMECH,6,,BH011,CHPR4405,
CHPR3406,Reaction Engineering,S2,CORE_SP-ECHEM,3,SP-ECHEM,6,,,CHPR4406,
CHPR3407,Transport Phenomena,S2,CORE_SP-ECHEM,3,SP-ECHEM,6,,,CHPR4407,
CHPR4408,Chemical and Thermal Renewable Energies,S1,GROUP_A_SP-ECHEM,4,SP-ECHEM,6,96,,,
CHPR4501,Advanced Reaction Engineering and Catalysts,S1,CORE_SP-ECHEM,4,SP-ECHEM,6,,,CHPR5501,
CHPR5520,Combustion Science and Technology,S2,GROUP_A_SP-ECHEM,5,SP-ECHEM,6,120,,,
CHPR5521,Flow Assurance for Future Energy,S1,GROUP_A_SP-ECHEM,5,SP-ECHEM,6,120,,,
CHPR5522,Gas Processing Technologies,S2,GROUP_A_SP-ECHEM,5,SP-ECHEM,6,120,,,
CHPR5550,Chemical Engineering Design Project,S2,CORE_SP-ECHEM,5,SP-ECHEM,12,,,CHPR5551;CHPR5552,
